age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
28,female,Girona,cat_cast,1,uni,T1_2_1,83,z
28,female,Girona,cat_cast,1,uni,T1_2_2,62,z
28,female,Girona,cat_cast,1,uni,T1_2_3,68,z
28,female,Girona,cat_cast,1,uni,T1_2_4,75,z
28,female,Girona,cat_cast,1,uni,T1_2_5,81,z
28,female,Girona,cat_cast,1,uni,T1_2_6,77,z
28,female,Girona,cat_cast,1,uni,T1_2_7,73,z
28,female,Girona,cat_cast,1,uni,T1_2_8,85,z
28,female,Girona,cat_cast,1,uni,T1_2_9,88,z
28,female,Girona,cat_cast,1,uni,T1_2_10,59,z
28,female,Girona,cat_cast,1,uni,T1_2_11,86,z
28,female,Girona,cat_cast,1,uni,T2_2_1,57,z
28,female,Girona,cat_cast,1,uni,T2_2_2,56,z
28,female,Girona,cat_cast,1,uni,T2_2_3,62,z
28,female,Girona,cat_cast,1,uni,T2_2_4,59,z
28,female,Girona,cat_cast,1,uni,T2_2_5,58,z
28,female,Girona,cat_cast,1,uni,T2_2_6,63,z
28,female,Girona,cat_cast,1,uni,T2_2_7,91,z
28,female,Girona,cat_cast,1,uni,T2_2_8,67,z
28,female,Girona,cat_cast,1,uni,T2_2_9,48,z
28,female,Girona,cat_cast,1,uni,T2_2_10,53,z
28,female,Girona,cat_cast,1,uni,T2_2_11,67,z
28,female,Girona,cat_cast,1,uni,T3_2_1,88,z
28,female,Girona,cat_cast,1,uni,T3_2_2,77,z
28,female,Girona,cat_cast,1,uni,T3_2_3,78,z
28,female,Girona,cat_cast,1,uni,T3_2_4,63,z
28,female,Girona,cat_cast,1,uni,T3_2_5,66,z
28,female,Girona,cat_cast,1,uni,T3_2_6,57,z
28,female,Girona,cat_cast,1,uni,T3_2_7,84,z
28,female,Girona,cat_cast,1,uni,T3_2_8,93,z
28,female,Girona,cat_cast,1,uni,T3_2_9,90,z
28,female,Girona,cat_cast,1,uni,T3_2_10,88,z
28,female,Girona,cat_cast,1,uni,T3_2_11,95,z
28,female,Girona,cat_cast,1,uni,T4_2_1,82,z
28,female,Girona,cat_cast,1,uni,T4_2_2,82,z
28,female,Girona,cat_cast,1,uni,T4_2_3,82,z
28,female,Girona,cat_cast,1,uni,T4_2_4,67,z
28,female,Girona,cat_cast,1,uni,T4_2_5,69,z
28,female,Girona,cat_cast,1,uni,T4_2_6,68,z
28,female,Girona,cat_cast,1,uni,T4_2_7,72,z
