id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_10,59,z
1,28,female,Girona,cat_cast,1,uni,T2_2_10,53,z
1,28,female,Girona,cat_cast,1,uni,T3_2_10,88,z
1,28,female,Girona,cat_cast,1,uni,T4_2_10,79,z
1,28,female,Girona,cat_cast,1,uni,T5_2_10,75,z
1,28,female,Girona,cat_cast,1,uni,T6_2_10,83,z
1,28,female,Girona,cat_cast,1,uni,T7_2_10,81,s
1,28,female,Girona,cat_cast,1,uni,T8_2_10,73,s
1,28,female,Girona,cat_cast,1,uni,T9_2_10,76,s
1,28,female,Girona,cat_cast,1,uni,T10_2_10,93,s
1,28,female,Girona,cat_cast,1,uni,T11_2_10,70,s
1,28,female,Girona,cat_cast,1,uni,T12_2_10,73,s
2,35,female,Girona,cat,4,uni,T1_2_10,87,z
2,35,female,Girona,cat,4,uni,T2_2_10,88,z
2,35,female,Girona,cat,4,uni,T3_2_10,75,z
2,35,female,Girona,cat,4,uni,T4_2_10,79,z
2,35,female,Girona,cat,4,uni,T5_2_10,61,z
2,35,female,Girona,cat,4,uni,T6_2_10,53,z
2,35,female,Girona,cat,4,uni,T7_2_10,74,s
2,35,female,Girona,cat,4,uni,T8_2_10,73,s
2,35,female,Girona,cat,4,uni,T9_2_10,61,s
2,35,female,Girona,cat,4,uni,T10_2_10,69,s
2,35,female,Girona,cat,4,uni,T11_2_10,70,s
2,35,female,Girona,cat,4,uni,T12_2_10,70,s
3,57,male,Girona,cat,5,uni,T1._10,49,z
3,57,male,Girona,cat,5,uni,T2_10,52,z
3,57,male,Girona,cat,5,uni,T3._10,40,z
3,57,male,Girona,cat,5,uni,T4._10,46,z
3,57,male,Girona,cat,5,uni,T5._10,89,z
3,57,male,Girona,cat,5,uni,T6_10,76,z
3,57,male,Girona,cat,5,uni,T7_10,57,s
3,57,male,Girona,cat,5,uni,T8_10,52,s
3,57,male,Girona,cat,5,uni,T9_10,89,s
3,57,male,Girona,cat,5,uni,T10_10,47,s
3,57,male,Girona,cat,5,uni,T11_10,54,s
3,57,male,Girona,cat,5,uni,T12_10,56,s
4,33,female,Barcelona,cat,4,uni,T1_2_10,100,z
4,33,female,Barcelona,cat,4,uni,T2_2_10,100,z
4,33,female,Barcelona,cat,4,uni,T3_2_10,100,z
4,33,female,Barcelona,cat,4,uni,T4_2_10,100,z
4,33,female,Barcelona,cat,4,uni,T5_2_10,100,z
4,33,female,Barcelona,cat,4,uni,T6_2_10,100,z
4,33,female,Barcelona,cat,4,uni,T7_2_10,100,s
4,33,female,Barcelona,cat,4,uni,T8_2_10,97,s
4,33,female,Barcelona,cat,4,uni,T9_2_10,85,s
4,33,female,Barcelona,cat,4,uni,T10_2_10,97,s
4,33,female,Barcelona,cat,4,uni,T11_2_10,100,s
4,33,female,Barcelona,cat,4,uni,T12_2_10,100,s
5,65,female,Girona,cat,3,uni,T1._10,78,z
5,65,female,Girona,cat,3,uni,T3._10,96,z
5,65,female,Girona,cat,3,uni,T4._10,92,z
5,65,female,Girona,cat,3,uni,T6_10,82,z
5,65,female,Girona,cat,3,uni,T7_10,63,s
5,65,female,Girona,cat,3,uni,T8_10,91,s
5,65,female,Girona,cat,3,uni,T11_10,90,s
6,42,female,Girona,cat,4,fp,T1_2_10,100,z
6,42,female,Girona,cat,4,fp,T2_2_10,89,z
6,42,female,Girona,cat,4,fp,T3_2_10,100,z
6,42,female,Girona,cat,4,fp,T4_2_10,100,z
6,42,female,Girona,cat,4,fp,T5_2_10,100,z
6,42,female,Girona,cat,4,fp,T6_2_10,100,z
6,42,female,Girona,cat,4,fp,T7_2_10,100,s
6,42,female,Girona,cat,4,fp,T8_2_10,100,s
6,42,female,Girona,cat,4,fp,T9_2_10,100,s
6,42,female,Girona,cat,4,fp,T10_2_10,100,s
6,42,female,Girona,cat,4,fp,T11_2_10,100,s
6,42,female,Girona,cat,4,fp,T12_2_10,100,s
7,28,female,Girona,cat,1,fp,T1_2_10,15,z
7,28,female,Girona,cat,1,fp,T2_2_10,34,z
7,28,female,Girona,cat,1,fp,T3_2_10,26,z
7,28,female,Girona,cat,1,fp,T4_2_10,14,z
7,28,female,Girona,cat,1,fp,T5_2_10,100,z
7,28,female,Girona,cat,1,fp,T6_2_10,49,z
7,28,female,Girona,cat,1,fp,T7_2_10,8,s
7,28,female,Girona,cat,1,fp,T8_2_10,18,s
7,28,female,Girona,cat,1,fp,T9_2_10,2,s
7,28,female,Girona,cat,1,fp,T10_2_10,46,s
7,28,female,Girona,cat,1,fp,T11_2_10,30,s
7,28,female,Girona,cat,1,fp,T12_2_10,73,s
8,32,male,Barcelona,cat_cast,5,uni,T1._10,70,z
8,32,male,Barcelona,cat_cast,5,uni,T2_10,58,z
8,32,male,Barcelona,cat_cast,5,uni,T3._10,95,z
8,32,male,Barcelona,cat_cast,5,uni,T4._10,94,z
8,32,male,Barcelona,cat_cast,5,uni,T5._10,74,z
8,32,male,Barcelona,cat_cast,5,uni,T6_10,65,z
8,32,male,Barcelona,cat_cast,5,uni,T7_10,77,s
8,32,male,Barcelona,cat_cast,5,uni,T8_10,49,s
8,32,male,Barcelona,cat_cast,5,uni,T9_10,78,s
8,32,male,Barcelona,cat_cast,5,uni,T10_10,77,s
8,32,male,Barcelona,cat_cast,5,uni,T11_10,76,s
8,32,male,Barcelona,cat_cast,5,uni,T12_10,36,s
9,63,female,Barcelona,cat,4,uni,T1_2_10,88,z
9,63,female,Barcelona,cat,4,uni,T2_2_10,79,z
9,63,female,Barcelona,cat,4,uni,T3_2_10,71,z
9,63,female,Barcelona,cat,4,uni,T4_2_10,87,z
9,63,female,Barcelona,cat,4,uni,T5_2_10,83,z
9,63,female,Barcelona,cat,4,uni,T6_2_10,84,z
9,63,female,Barcelona,cat,4,uni,T7_2_10,100,s
9,63,female,Barcelona,cat,4,uni,T8_2_10,87,s
9,63,female,Barcelona,cat,4,uni,T9_2_10,95,s
9,63,female,Barcelona,cat,4,uni,T10_2_10,79,s
9,63,female,Barcelona,cat,4,uni,T11_2_10,82,s
9,63,female,Barcelona,cat,4,uni,T12_2_10,97,s
10,33,male,Barcelona,cat,5,uni,T1_2_10,83,z
10,33,male,Barcelona,cat,5,uni,T4_2_10,90,z
10,33,male,Barcelona,cat,5,uni,T5_2_10,86,z
10,33,male,Barcelona,cat,5,uni,T6_2_10,81,z
10,33,male,Barcelona,cat,5,uni,T7_2_10,92,s
10,33,male,Barcelona,cat,5,uni,T11_2_10,95,s
11,35,male,Barcelona,cat,7,uni,T1._10,50,z
11,35,male,Barcelona,cat,7,uni,T2_10,60,z
11,35,male,Barcelona,cat,7,uni,T3._10,50,z
11,35,male,Barcelona,cat,7,uni,T4._10,60,z
11,35,male,Barcelona,cat,7,uni,T5._10,40,z
11,35,male,Barcelona,cat,7,uni,T6_10,50,z
11,35,male,Barcelona,cat,7,uni,T7_10,61,s
11,35,male,Barcelona,cat,7,uni,T8_10,50,s
11,35,male,Barcelona,cat,7,uni,T9_10,62,s
11,35,male,Barcelona,cat,7,uni,T10_10,20,s
11,35,male,Barcelona,cat,7,uni,T11_10,51,s
11,35,male,Barcelona,cat,7,uni,T12_10,50,s
12,28,female,Barcelona,cat,7,uni,T1_2_10,82,z
12,28,female,Barcelona,cat,7,uni,T2_2_10,87,z
12,28,female,Barcelona,cat,7,uni,T3_2_10,46,z
12,28,female,Barcelona,cat,7,uni,T4_2_10,94,z
12,28,female,Barcelona,cat,7,uni,T5_2_10,94,z
12,28,female,Barcelona,cat,7,uni,T6_2_10,89,z
12,28,female,Barcelona,cat,7,uni,T7_2_10,84,s
12,28,female,Barcelona,cat,7,uni,T8_2_10,50,s
12,28,female,Barcelona,cat,7,uni,T9_2_10,84,s
12,28,female,Barcelona,cat,7,uni,T10_2_10,82,s
12,28,female,Barcelona,cat,7,uni,T11_2_10,85,s
12,28,female,Barcelona,cat,7,uni,T12_2_10,94,s
13,29,male,Barcelona,cat,5,uni,T1._10,100,z
13,29,male,Barcelona,cat,5,uni,T2_10,100,z
13,29,male,Barcelona,cat,5,uni,T3._10,100,z
13,29,male,Barcelona,cat,5,uni,T4._10,100,z
13,29,male,Barcelona,cat,5,uni,T5._10,100,z
13,29,male,Barcelona,cat,5,uni,T6_10,100,z
13,29,male,Barcelona,cat,5,uni,T7_10,100,s
13,29,male,Barcelona,cat,5,uni,T8_10,100,s
13,29,male,Barcelona,cat,5,uni,T9_10,100,s
13,29,male,Barcelona,cat,5,uni,T10_10,100,s
13,29,male,Barcelona,cat,5,uni,T11_10,100,s
13,29,male,Barcelona,cat,5,uni,T12_10,100,s
14,72,male,Barcelona,cat,7,uni,T1._10,65,z
14,72,male,Barcelona,cat,7,uni,T2_10,75,z
14,72,male,Barcelona,cat,7,uni,T3._10,72,z
14,72,male,Barcelona,cat,7,uni,T4._10,68,z
14,72,male,Barcelona,cat,7,uni,T5._10,71,z
14,72,male,Barcelona,cat,7,uni,T6_10,86,z
14,72,male,Barcelona,cat,7,uni,T7_10,83,s
14,72,male,Barcelona,cat,7,uni,T8_10,69,s
14,72,male,Barcelona,cat,7,uni,T9_10,74,s
14,72,male,Barcelona,cat,7,uni,T10_10,81,s
14,72,male,Barcelona,cat,7,uni,T11_10,67,s
14,72,male,Barcelona,cat,7,uni,T12_10,75,s
15,71,female,Barcelona,cat,7,eso,T1_2_10,24,z
15,71,female,Barcelona,cat,7,eso,T2_2_10,22,z
15,71,female,Barcelona,cat,7,eso,T3_2_10,22,z
15,71,female,Barcelona,cat,7,eso,T4_2_10,20,z
15,71,female,Barcelona,cat,7,eso,T5_2_10,15,z
15,71,female,Barcelona,cat,7,eso,T6_2_10,23,z
15,71,female,Barcelona,cat,7,eso,T7_2_10,18,s
15,71,female,Barcelona,cat,7,eso,T8_2_10,14,s
15,71,female,Barcelona,cat,7,eso,T9_2_10,24,s
15,71,female,Barcelona,cat,7,eso,T10_2_10,22,s
15,71,female,Barcelona,cat,7,eso,T11_2_10,28,s
