id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_11,86,z
1,28,female,Girona,cat_cast,1,uni,T2_2_11,67,z
1,28,female,Girona,cat_cast,1,uni,T3_2_11,95,z
1,28,female,Girona,cat_cast,1,uni,T4_2_11,77,z
1,28,female,Girona,cat_cast,1,uni,T5_2_11,66,z
1,28,female,Girona,cat_cast,1,uni,T6_2_11,74,z
1,28,female,Girona,cat_cast,1,uni,T7_2_11,75,s
1,28,female,Girona,cat_cast,1,uni,T8_2_11,65,s
1,28,female,Girona,cat_cast,1,uni,T9_2_11,76,s
1,28,female,Girona,cat_cast,1,uni,T10_2_11,92,s
1,28,female,Girona,cat_cast,1,uni,T11_2_11,71,s
1,28,female,Girona,cat_cast,1,uni,T12_2_11,76,s
2,35,female,Girona,cat,4,uni,T1_2_11,87,z
2,35,female,Girona,cat,4,uni,T2_2_11,96,z
2,35,female,Girona,cat,4,uni,T3_2_11,69,z
2,35,female,Girona,cat,4,uni,T4_2_11,59,z
2,35,female,Girona,cat,4,uni,T5_2_11,64,z
2,35,female,Girona,cat,4,uni,T6_2_11,49,z
2,35,female,Girona,cat,4,uni,T7_2_11,78,s
2,35,female,Girona,cat,4,uni,T8_2_11,60,s
2,35,female,Girona,cat,4,uni,T9_2_11,60,s
2,35,female,Girona,cat,4,uni,T10_2_11,73,s
2,35,female,Girona,cat,4,uni,T11_2_11,68,s
2,35,female,Girona,cat,4,uni,T12_2_11,68,s
3,57,male,Girona,cat,5,uni,T1._11,11,z
3,57,male,Girona,cat,5,uni,T2_11,18,z
3,57,male,Girona,cat,5,uni,T3._11,20,z
3,57,male,Girona,cat,5,uni,T4._11,47,z
3,57,male,Girona,cat,5,uni,T5._11,54,z
3,57,male,Girona,cat,5,uni,T6_11,49,z
3,57,male,Girona,cat,5,uni,T7_11,59,s
3,57,male,Girona,cat,5,uni,T8_11,48,s
3,57,male,Girona,cat,5,uni,T9_11,53,s
3,57,male,Girona,cat,5,uni,T10_11,38,s
3,57,male,Girona,cat,5,uni,T11_11,48,s
3,57,male,Girona,cat,5,uni,T12_11,54,s
4,33,female,Barcelona,cat,4,uni,T1_2_11,100,z
4,33,female,Barcelona,cat,4,uni,T2_2_11,100,z
4,33,female,Barcelona,cat,4,uni,T3_2_11,100,z
4,33,female,Barcelona,cat,4,uni,T4_2_11,100,z
4,33,female,Barcelona,cat,4,uni,T5_2_11,100,z
4,33,female,Barcelona,cat,4,uni,T6_2_11,100,z
4,33,female,Barcelona,cat,4,uni,T7_2_11,100,s
4,33,female,Barcelona,cat,4,uni,T8_2_11,97,s
4,33,female,Barcelona,cat,4,uni,T9_2_11,85,s
4,33,female,Barcelona,cat,4,uni,T10_2_11,96,s
4,33,female,Barcelona,cat,4,uni,T11_2_11,93,s
4,33,female,Barcelona,cat,4,uni,T12_2_11,97,s
5,65,female,Girona,cat,3,uni,T1._11,76,z
5,65,female,Girona,cat,3,uni,T3._11,95,z
5,65,female,Girona,cat,3,uni,T4._11,95,z
5,65,female,Girona,cat,3,uni,T5._11,0,z
