id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_5,81,z
1,28,female,Girona,cat_cast,1,uni,T2_2_5,58,z
1,28,female,Girona,cat_cast,1,uni,T3_2_5,66,z
1,28,female,Girona,cat_cast,1,uni,T4_2_5,69,z
1,28,female,Girona,cat_cast,1,uni,T5_2_5,62,z
1,28,female,Girona,cat_cast,1,uni,T6_2_5,93,z
1,28,female,Girona,cat_cast,1,uni,T7_2_5,70,s
1,28,female,Girona,cat_cast,1,uni,T8_2_5,50,s
1,28,female,Girona,cat_cast,1,uni,T9_2_5,75,s
1,28,female,Girona,cat_cast,1,uni,T10_2_5,91,s
1,28,female,Girona,cat_cast,1,uni,T11_2_5,70,s
1,28,female,Girona,cat_cast,1,uni,T12_2_5,79,s
2,35,female,Girona,cat,4,uni,T1_2_5,57,z
2,35,female,Girona,cat,4,uni,T2_2_5,51,z
2,35,female,Girona,cat,4,uni,T3_2_5,57,z
2,35,female,Girona,cat,4,uni,T4_2_5,52,z
2,35,female,Girona,cat,4,uni,T5_2_5,44,z
2,35,female,Girona,cat,4,uni,T6_2_5,54,z
2,35,female,Girona,cat,4,uni,T7_2_5,49,s
2,35,female,Girona,cat,4,uni,T8_2_5,58,s
2,35,female,Girona,cat,4,uni,T9_2_5,69,s
2,35,female,Girona,cat,4,uni,T10_2_5,57,s
2,35,female,Girona,cat,4,uni,T11_2_5,42,s
2,35,female,Girona,cat,4,uni,T12_2_5,55,s
3,57,male,Girona,cat,5,uni,T1._5,50,z
3,57,male,Girona,cat,5,uni,T2_5,47,z
3,57,male,Girona,cat,5,uni,T3._5,51,z
3,57,male,Girona,cat,5,uni,T4._5,49,z
3,57,male,Girona,cat,5,uni,T5._5,60,z
3,57,male,Girona,cat,5,uni,T6_5,49,z
3,57,male,Girona,cat,5,uni,T7_5,52,s
3,57,male,Girona,cat,5,uni,T8_5,51,s
3,57,male,Girona,cat,5,uni,T9_5,49,s
3,57,male,Girona,cat,5,uni,T10_5,54,s
3,57,male,Girona,cat,5,uni,T11_5,52,s
3,57,male,Girona,cat,5,uni,T12_5,54,s
4,33,female,Barcelona,cat,4,uni,T1_2_5,100,z
4,33,female,Barcelona,cat,4,uni,T2_2_5,100,z
4,33,female,Barcelona,cat,4,uni,T3_2_5,100,z
4,33,female,Barcelona,cat,4,uni,T4_2_5,100,z
4,33,female,Barcelona,cat,4,uni,T5_2_5,85,z
4,33,female,Barcelona,cat,4,uni,T6_2_5,100,z
4,33,female,Barcelona,cat,4,uni,T7_2_5,100,s
4,33,female,Barcelona,cat,4,uni,T8_2_5,94,s
4,33,female,Barcelona,cat,4,uni,T9_2_5,70,s
4,33,female,Barcelona,cat,4,uni,T10_2_5,100,s
4,33,female,Barcelona,cat,4,uni,T11_2_5,92,s
4,33,female,Barcelona,cat,4,uni,T12_2_5,100,s
5,65,female,Girona,cat,3,uni,T3._5,93,z
5,65,female,Girona,cat,3,uni,T4._5,79,z
5,65,female,Girona,cat,3,uni,T5._5,65,z
5,65,female,Girona,cat,3,uni,T7_5,73,s
5,65,female,Girona,cat,3,uni,T8_5,87,s
5,65,female,Girona,cat,3,uni,T11_5,93,s
6,42,female,Girona,cat,4,fp,T1_2_5,72,z
6,42,female,Girona,cat,4,fp,T2_2_5,50,z
6,42,female,Girona,cat,4,fp,T3_2_5,45,z
6,42,female,Girona,cat,4,fp,T4_2_5,58,z
6,42,female,Girona,cat,4,fp,T5_2_5,59,z
6,42,female,Girona,cat,4,fp,T6_2_5,69,z
6,42,female,Girona,cat,4,fp,T7_2_5,52,s
6,42,female,Girona,cat,4,fp,T8_2_5,58,s
6,42,female,Girona,cat,4,fp,T9_2_5,71,s
6,42,female,Girona,cat,4,fp,T10_2_5,72,s
6,42,female,Girona,cat,4,fp,T11_2_5,62,s
6,42,female,Girona,cat,4,fp,T12_2_5,67,s
7,28,female,Girona,cat,1,fp,T1_2_5,29,z
7,28,female,Girona,cat,1,fp,T2_2_5,55,z
7,28,female,Girona,cat,1,fp,T3_2_5,44,z
7,28,female,Girona,cat,1,fp,T4_2_5,64,z
7,28,female,Girona,cat,1,fp,T5_2_5,100,z
7,28,female,Girona,cat,1,fp,T6_2_5,60,z
7,28,female,Girona,cat,1,fp,T7_2_5,65,s
7,28,female,Girona,cat,1,fp,T8_2_5,12,s
7,28,female,Girona,cat,1,fp,T9_2_5,31,s
7,28,female,Girona,cat,1,fp,T10_2_5,50,s
7,28,female,Girona,cat,1,fp,T11_2_5,74,s
7,28,female,Girona,cat,1,fp,T12_2_5,82,s
8,32,male,Barcelona,cat_cast,5,uni,T1._5,79,z
8,32,male,Barcelona,cat_cast,5,uni,T2_5,60,z
8,32,male,Barcelona,cat_cast,5,uni,T3._5,87,z
8,32,male,Barcelona,cat_cast,5,uni,T4._5,90,z
8,32,male,Barcelona,cat_cast,5,uni,T5._5,66,z
8,32,male,Barcelona,cat_cast,5,uni,T6_5,78,z
8,32,male,Barcelona,cat_cast,5,uni,T7_5,77,s
8,32,male,Barcelona,cat_cast,5,uni,T8_5,77,s
8,32,male,Barcelona,cat_cast,5,uni,T9_5,65,s
8,32,male,Barcelona,cat_cast,5,uni,T10_5,70,s
8,32,male,Barcelona,cat_cast,5,uni,T11_5,68,s
8,32,male,Barcelona,cat_cast,5,uni,T12_5,68,s
9,63,female,Barcelona,cat,4,uni,T1_2_5,52,z
9,63,female,Barcelona,cat,4,uni,T2_2_5,59,z
9,63,female,Barcelona,cat,4,uni,T3_2_5,44,z
9,63,female,Barcelona,cat,4,uni,T4_2_5,57,z
9,63,female,Barcelona,cat,4,uni,T5_2_5,51,z
9,63,female,Barcelona,cat,4,uni,T6_2_5,60,z
9,63,female,Barcelona,cat,4,uni,T7_2_5,47,s
9,63,female,Barcelona,cat,4,uni,T8_2_5,51,s
9,63,female,Barcelona,cat,4,uni,T9_2_5,51,s
9,63,female,Barcelona,cat,4,uni,T10_2_5,53,s
9,63,female,Barcelona,cat,4,uni,T11_2_5,49,s
