id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_7,73,z
1,28,female,Girona,cat_cast,1,uni,T2_2_7,91,z
1,28,female,Girona,cat_cast,1,uni,T3_2_7,84,z
1,28,female,Girona,cat_cast,1,uni,T4_2_7,72,z
1,28,female,Girona,cat_cast,1,uni,T5_2_7,68,z
1,28,female,Girona,cat_cast,1,uni,T6_2_7,77,z
1,28,female,Girona,cat_cast,1,uni,T7_2_7,84,s
1,28,female,Girona,cat_cast,1,uni,T8_2_7,53,s
1,28,female,Girona,cat_cast,1,uni,T9_2_7,80,s
1,28,female,Girona,cat_cast,1,uni,T10_2_7,51,s
1,28,female,Girona,cat_cast,1,uni,T11_2_7,74,s
1,28,female,Girona,cat_cast,1,uni,T12_2_7,88,s
2,35,female,Girona,cat,4,uni,T1_2_7,1,z
2,35,female,Girona,cat,4,uni,T2_2_7,9,z
2,35,female,Girona,cat,4,uni,T3_2_7,60,z
2,35,female,Girona,cat,4,uni,T4_2_7,48,z
2,35,female,Girona,cat,4,uni,T5_2_7,47,z
2,35,female,Girona,cat,4,uni,T6_2_7,62,z
2,35,female,Girona,cat,4,uni,T7_2_7,58,s
2,35,female,Girona,cat,4,uni,T8_2_7,58,s
2,35,female,Girona,cat,4,uni,T9_2_7,53,s
2,35,female,Girona,cat,4,uni,T10_2_7,58,s
2,35,female,Girona,cat,4,uni,T11_2_7,56,s
2,35,female,Girona,cat,4,uni,T12_2_7,52,s
3,57,male,Girona,cat,5,uni,T1._7,49,z
3,57,male,Girona,cat,5,uni,T2_7,51,z
3,57,male,Girona,cat,5,uni,T3._7,52,z
3,57,male,Girona,cat,5,uni,T4._7,49,z
3,57,male,Girona,cat,5,uni,T5._7,56,z
3,57,male,Girona,cat,5,uni,T6_7,56,z
3,57,male,Girona,cat,5,uni,T7_7,53,s
3,57,male,Girona,cat,5,uni,T8_7,57,s
3,57,male,Girona,cat,5,uni,T9_7,57,s
3,57,male,Girona,cat,5,uni,T10_7,37,s
3,57,male,Girona,cat,5,uni,T11_7,58,s
3,57,male,Girona,cat,5,uni,T12_7,47,s
4,33,female,Barcelona,cat,4,uni,T1_2_7,85,z
4,33,female,Barcelona,cat,4,uni,T2_2_7,100,z
4,33,female,Barcelona,cat,4,uni,T3_2_7,73,z
4,33,female,Barcelona,cat,4,uni,T4_2_7,53,z
4,33,female,Barcelona,cat,4,uni,T5_2_7,100,z
4,33,female,Barcelona,cat,4,uni,T6_2_7,90,z
4,33,female,Barcelona,cat,4,uni,T7_2_7,29,s
4,33,female,Barcelona,cat,4,uni,T8_2_7,92,s
4,33,female,Barcelona,cat,4,uni,T9_2_7,35,s
4,33,female,Barcelona,cat,4,uni,T10_2_7,99,s
4,33,female,Barcelona,cat,4,uni,T11_2_7,88,s
4,33,female,Barcelona,cat,4,uni,T12_2_7,100,s
5,65,female,Girona,cat,3,uni,T2_7,79,z
5,65,female,Girona,cat,3,uni,T10_7,76,s
6,42,female,Girona,cat,4,fp,T1_2_7,57,z
6,42,female,Girona,cat,4,fp,T2_2_7,18,z
6,42,female,Girona,cat,4,fp,T3_2_7,50,z
6,42,female,Girona,cat,4,fp,T4_2_7,52,z
6,42,female,Girona,cat,4,fp,T5_2_7,29,z
6,42,female,Girona,cat,4,fp,T6_2_7,53,z
6,42,female,Girona,cat,4,fp,T7_2_7,50,s
6,42,female,Girona,cat,4,fp,T8_2_7,50,s
6,42,female,Girona,cat,4,fp,T9_2_7,52,s
6,42,female,Girona,cat,4,fp,T10_2_7,53,s
6,42,female,Girona,cat,4,fp,T11_2_7,50,s
6,42,female,Girona,cat,4,fp,T12_2_7,75,s
7,28,female,Girona,cat,1,fp,T1_2_7,93,z
7,28,female,Girona,cat,1,fp,T2_2_7,19,z
7,28,female,Girona,cat,1,fp,T3_2_7,62,z
7,28,female,Girona,cat,1,fp,T4_2_7,100,z
7,28,female,Girona,cat,1,fp,T5_2_7,50,z
7,28,female,Girona,cat,1,fp,T6_2_7,39,z
7,28,female,Girona,cat,1,fp,T7_2_7,94,s
7,28,female,Girona,cat,1,fp,T8_2_7,16,s
7,28,female,Girona,cat,1,fp,T9_2_7,100,s
7,28,female,Girona,cat,1,fp,T10_2_7,42,s
7,28,female,Girona,cat,1,fp,T11_2_7,30,s
7,28,female,Girona,cat,1,fp,T12_2_7,18,s
8,32,male,Barcelona,cat_cast,5,uni,T1._7,74,z
8,32,male,Barcelona,cat_cast,5,uni,T2_7,93,z
8,32,male,Barcelona,cat_cast,5,uni,T3._7,62,z
8,32,male,Barcelona,cat_cast,5,uni,T4._7,51,z
8,32,male,Barcelona,cat_cast,5,uni,T5._7,88,z
8,32,male,Barcelona,cat_cast,5,uni,T6_7,95,z
8,32,male,Barcelona,cat_cast,5,uni,T7_7,60,s
8,32,male,Barcelona,cat_cast,5,uni,T8_7,28,s
8,32,male,Barcelona,cat_cast,5,uni,T9_7,77,s
8,32,male,Barcelona,cat_cast,5,uni,T10_7,39,s
8,32,male,Barcelona,cat_cast,5,uni,T11_7,72,s
8,32,male,Barcelona,cat_cast,5,uni,T12_7,92,s
9,63,female,Barcelona,cat,4,uni,T1_2_7,52,z
9,63,female,Barcelona,cat,4,uni,T2_2_7,62,z
9,63,female,Barcelona,cat,4,uni,T3_2_7,57,z
9,63,female,Barcelona,cat,4,uni,T4_2_7,46,z
9,63,female,Barcelona,cat,4,uni,T5_2_7,49,z
9,63,female,Barcelona,cat,4,uni,T6_2_7,57,z
9,63,female,Barcelona,cat,4,uni,T7_2_7,52,s
9,63,female,Barcelona,cat,4,uni,T8_2_7,49,s
9,63,female,Barcelona,cat,4,uni,T9_2_7,58,s
9,63,female,Barcelona,cat,4,uni,T10_2_7,61,s
9,63,female,Barcelona,cat,4,uni,T11_2_7,50,s
9,63,female,Barcelona,cat,4,uni,T12_2_7,52,s
10,33,male,Barcelona,cat,5,uni,T1_2_7,86,z
10,33,male,Barcelona,cat,5,uni,T4_2_7,88,z
10,33,male,Barcelona,cat,5,uni,T5_2_7,83,z
10,33,male,Barcelona,cat,5,uni,T6_2_7,79,z
10,33,male,Barcelona,cat,5,uni,T7_2_7,81,s
10,33,male,Barcelona,cat,5,uni,T11_2_7,68,s
11,35,male,Barcelona,cat,7,uni,T1._7,50,z
11,35,male,Barcelona,cat,7,uni,T2_7,70,z
11,35,male,Barcelona,cat,7,uni,T3._7,50,z
11,35,male,Barcelona,cat,7,uni,T4._7,51,z
11,35,male,Barcelona,cat,7,uni,T5._7,10,z
11,35,male,Barcelona,cat,7,uni,T6_7,50,z
11,35,male,Barcelona,cat,7,uni,T7_7,49,s
11,35,male,Barcelona,cat,7,uni,T8_7,40,s
11,35,male,Barcelona,cat,7,uni,T9_7,50,s
11,35,male,Barcelona,cat,7,uni,T10_7,50,s
11,35,male,Barcelona,cat,7,uni,T11_7,51,s
11,35,male,Barcelona,cat,7,uni,T12_7,50,s
12,28,female,Barcelona,cat,7,uni,T1_2_7,40,z
12,28,female,Barcelona,cat,7,uni,T2_2_7,42,z
12,28,female,Barcelona,cat,7,uni,T3_2_7,57,z
12,28,female,Barcelona,cat,7,uni,T4_2_7,37,z
12,28,female,Barcelona,cat,7,uni,T5_2_7,97,z
12,28,female,Barcelona,cat,7,uni,T6_2_7,91,z
12,28,female,Barcelona,cat,7,uni,T7_2_7,52,s
12,28,female,Barcelona,cat,7,uni,T8_2_7,45,s
12,28,female,Barcelona,cat,7,uni,T9_2_7,44,s
12,28,female,Barcelona,cat,7,uni,T10_2_7,81,s
12,28,female,Barcelona,cat,7,uni,T11_2_7,87,s
12,28,female,Barcelona,cat,7,uni,T12_2_7,30,s
13,29,male,Barcelona,cat,5,uni,T1._7,0,z
13,29,male,Barcelona,cat,5,uni,T2_7,0,z
13,29,male,Barcelona,cat,5,uni,T3._7,50,z
13,29,male,Barcelona,cat,5,uni,T4._7,0,z
13,29,male,Barcelona,cat,5,uni,T5._7,0,z
13,29,male,Barcelona,cat,5,uni,T6_7,50,z
13,29,male,Barcelona,cat,5,uni,T7_7,0,s
13,29,male,Barcelona,cat,5,uni,T8_7,50,s
13,29,male,Barcelona,cat,5,uni,T9_7,0,s
13,29,male,Barcelona,cat,5,uni,T10_7,0,s
