id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_2,62,z
1,28,female,Girona,cat_cast,1,uni,T2_2_2,56,z
1,28,female,Girona,cat_cast,1,uni,T3_2_2,77,z
1,28,female,Girona,cat_cast,1,uni,T4_2_2,82,z
1,28,female,Girona,cat_cast,1,uni,T5_2_2,77,z
1,28,female,Girona,cat_cast,1,uni,T6_2_2,77,z
1,28,female,Girona,cat_cast,1,uni,T7_2_2,59,s
1,28,female,Girona,cat_cast,1,uni,T8_2_2,66,s
1,28,female,Girona,cat_cast,1,uni,T9_2_2,61,s
1,28,female,Girona,cat_cast,1,uni,T10_2_2,100,s
1,28,female,Girona,cat_cast,1,uni,T11_2_2,70,s
1,28,female,Girona,cat_cast,1,uni,T12_2_2,69,s
2,35,female,Girona,cat,4,uni,T1_2_2,90,z
2,35,female,Girona,cat,4,uni,T2_2_2,84,z
2,35,female,Girona,cat,4,uni,T3_2_2,65,z
2,35,female,Girona,cat,4,uni,T4_2_2,84,z
2,35,female,Girona,cat,4,uni,T5_2_2,58,z
2,35,female,Girona,cat,4,uni,T6_2_2,60,z
2,35,female,Girona,cat,4,uni,T7_2_2,52,s
2,35,female,Girona,cat,4,uni,T8_2_2,53,s
2,35,female,Girona,cat,4,uni,T9_2_2,60,s
2,35,female,Girona,cat,4,uni,T10_2_2,52,s
2,35,female,Girona,cat,4,uni,T11_2_2,39,s
2,35,female,Girona,cat,4,uni,T12_2_2,48,s
3,57,male,Girona,cat,5,uni,T1._2,50,z
3,57,male,Girona,cat,5,uni,T2_2,47,z
3,57,male,Girona,cat,5,uni,T3._2,50,z
3,57,male,Girona,cat,5,uni,T4._2,53,z
3,57,male,Girona,cat,5,uni,T5._2,54,z
3,57,male,Girona,cat,5,uni,T6_2,52,z
3,57,male,Girona,cat,5,uni,T7_2,49,s
3,57,male,Girona,cat,5,uni,T8_2,57,s
3,57,male,Girona,cat,5,uni,T9_2,54,s
3,57,male,Girona,cat,5,uni,T10_2,50,s
3,57,male,Girona,cat,5,uni,T11_2,55,s
3,57,male,Girona,cat,5,uni,T12_2,55,s
4,33,female,Barcelona,cat,4,uni,T1_2_2,81,z
4,33,female,Barcelona,cat,4,uni,T2_2_2,62,z
4,33,female,Barcelona,cat,4,uni,T3_2_2,63,z
4,33,female,Barcelona,cat,4,uni,T4_2_2,67,z
4,33,female,Barcelona,cat,4,uni,T5_2_2,54,z
4,33,female,Barcelona,cat,4,uni,T6_2_2,4,z
4,33,female,Barcelona,cat,4,uni,T7_2_2,81,s
4,33,female,Barcelona,cat,4,uni,T8_2_2,64,s
4,33,female,Barcelona,cat,4,uni,T9_2_2,57,s
4,33,female,Barcelona,cat,4,uni,T10_2_2,71,s
4,33,female,Barcelona,cat,4,uni,T11_2_2,59,s
4,33,female,Barcelona,cat,4,uni,T12_2_2,65,s
5,65,female,Girona,cat,3,uni,T2_2,81,z
5,65,female,Girona,cat,3,uni,T3._2,0,z
5,65,female,Girona,cat,3,uni,T4._2,93,z
5,65,female,Girona,cat,3,uni,T8_2,0,s
6,42,female,Girona,cat,4,fp,T1_2_2,80,z
6,42,female,Girona,cat,4,fp,T2_2_2,42,z
6,42,female,Girona,cat,4,fp,T3_2_2,56,z
6,42,female,Girona,cat,4,fp,T4_2_2,82,z
6,42,female,Girona,cat,4,fp,T5_2_2,50,z
6,42,female,Girona,cat,4,fp,T6_2_2,77,z
6,42,female,Girona,cat,4,fp,T7_2_2,64,s
6,42,female,Girona,cat,4,fp,T8_2_2,73,s
6,42,female,Girona,cat,4,fp,T9_2_2,75,s
6,42,female,Girona,cat,4,fp,T10_2_2,78,s
6,42,female,Girona,cat,4,fp,T11_2_2,75,s
6,42,female,Girona,cat,4,fp,T12_2_2,80,s
7,28,female,Girona,cat,1,fp,T1_2_2,18,z
7,28,female,Girona,cat,1,fp,T2_2_2,32,z
7,28,female,Girona,cat,1,fp,T3_2_2,48,z
7,28,female,Girona,cat,1,fp,T4_2_2,52,z
7,28,female,Girona,cat,1,fp,T5_2_2,70,z
7,28,female,Girona,cat,1,fp,T6_2_2,50,z
7,28,female,Girona,cat,1,fp,T7_2_2,46,s
7,28,female,Girona,cat,1,fp,T8_2_2,15,s
7,28,female,Girona,cat,1,fp,T9_2_2,61,s
7,28,female,Girona,cat,1,fp,T10_2_2,52,s
7,28,female,Girona,cat,1,fp,T11_2_2,42,s
7,28,female,Girona,cat,1,fp,T12_2_2,55,s
8,32,male,Barcelona,cat_cast,5,uni,T1._2,66,z
8,32,male,Barcelona,cat_cast,5,uni,T2_2,87,z
8,32,male,Barcelona,cat_cast,5,uni,T3._2,78,z
8,32,male,Barcelona,cat_cast,5,uni,T4._2,70,z
8,32,male,Barcelona,cat_cast,5,uni,T5._2,32,z
8,32,male,Barcelona,cat_cast,5,uni,T6_2,65,z
8,32,male,Barcelona,cat_cast,5,uni,T7_2,64,s
8,32,male,Barcelona,cat_cast,5,uni,T8_2,39,s
8,32,male,Barcelona,cat_cast,5,uni,T9_2,54,s
8,32,male,Barcelona,cat_cast,5,uni,T10_2,57,s
8,32,male,Barcelona,cat_cast,5,uni,T11_2,50,s
8,32,male,Barcelona,cat_cast,5,uni,T12_2,56,s
9,63,female,Barcelona,cat,4,uni,T1_2_2,49,z
9,63,female,Barcelona,cat,4,uni,T2_2_2,42,z
9,63,female,Barcelona,cat,4,uni,T3_2_2,53,z
9,63,female,Barcelona,cat,4,uni,T4_2_2,57,z
9,63,female,Barcelona,cat,4,uni,T5_2_2,43,z
9,63,female,Barcelona,cat,4,uni,T6_2_2,53,z
9,63,female,Barcelona,cat,4,uni,T7_2_2,44,s
9,63,female,Barcelona,cat,4,uni,T8_2_2,57,s
9,63,female,Barcelona,cat,4,uni,T9_2_2,54,s
9,63,female,Barcelona,cat,4,uni,T10_2_2,48,s
9,63,female,Barcelona,cat,4,uni,T11_2_2,44,s
9,63,female,Barcelona,cat,4,uni,T12_2_2,48,s
10,33,male,Barcelona,cat,5,uni,T1_2_2,89,z
10,33,male,Barcelona,cat,5,uni,T4_2_2,86,z
10,33,male,Barcelona,cat,5,uni,T5_2_2,86,z
10,33,male,Barcelona,cat,5,uni,T6_2_2,83,z
10,33,male,Barcelona,cat,5,uni,T7_2_2,90,s
10,33,male,Barcelona,cat,5,uni,T11_2_2,29,s
11,35,male,Barcelona,cat,7,uni,T1._2,50,z
11,35,male,Barcelona,cat,7,uni,T2_2,50,z
11,35,male,Barcelona,cat,7,uni,T3._2,50,z
11,35,male,Barcelona,cat,7,uni,T4._2,50,z
11,35,male,Barcelona,cat,7,uni,T5._2,50,z
11,35,male,Barcelona,cat,7,uni,T6_2,50,z
11,35,male,Barcelona,cat,7,uni,T7_2,50,s
11,35,male,Barcelona,cat,7,uni,T8_2,50,s
11,35,male,Barcelona,cat,7,uni,T9_2,51,s
11,35,male,Barcelona,cat,7,uni,T10_2,50,s
11,35,male,Barcelona,cat,7,uni,T11_2,51,s
11,35,male,Barcelona,cat,7,uni,T12_2,50,s
12,28,female,Barcelona,cat,7,uni,T1_2_2,88,z
12,28,female,Barcelona,cat,7,uni,T2_2_2,76,z
12,28,female,Barcelona,cat,7,uni,T3_2_2,80,z
12,28,female,Barcelona,cat,7,uni,T4_2_2,97,z
12,28,female,Barcelona,cat,7,uni,T5_2_2,89,z
12,28,female,Barcelona,cat,7,uni,T6_2_2,97,z
12,28,female,Barcelona,cat,7,uni,T7_2_2,86,s
12,28,female,Barcelona,cat,7,uni,T8_2_2,77,s
12,28,female,Barcelona,cat,7,uni,T9_2_2,88,s
12,28,female,Barcelona,cat,7,uni,T10_2_2,86,s
12,28,female,Barcelona,cat,7,uni,T11_2_2,83,s
12,28,female,Barcelona,cat,7,uni,T12_2_2,87,s
13,29,male,Barcelona,cat,5,uni,T1._2,51,z
13,29,male,Barcelona,cat,5,uni,T2_2,49,z
13,29,male,Barcelona,cat,5,uni,T3._2,50,z
13,29,male,Barcelona,cat,5,uni,T4._2,51,z
13,29,male,Barcelona,cat,5,uni,T5._2,50,z
13,29,male,Barcelona,cat,5,uni,T6_2,50,z
13,29,male,Barcelona,cat,5,uni,T7_2,47,s
13,29,male,Barcelona,cat,5,uni,T8_2,50,s
13,29,male,Barcelona,cat,5,uni,T9_2,49,s
13,29,male,Barcelona,cat,5,uni,T10_2,51,s
13,29,male,Barcelona,cat,5,uni,T11_2,50,s
13,29,male,Barcelona,cat,5,uni,T12_2,52,s
14,72,male,Barcelona,cat,7,uni,T1._2,56,z
14,72,male,Barcelona,cat,7,uni,T2_2,57,z
14,72,male,Barcelona,cat,7,uni,T3._2,62,z
14,72,male,Barcelona,cat,7,uni,T4._2,71,z
14,72,male,Barcelona,cat,7,uni,T5._2,85,z
14,72,male,Barcelona,cat,7,uni,T6_2,82,z
14,72,male,Barcelona,cat,7,uni,T7_2,75,s
14,72,male,Barcelona,cat,7,uni,T8_2,73,s
14,72,male,Barcelona,cat,7,uni,T9_2,64,s
14,72,male,Barcelona,cat,7,uni,T10_2,82,s
14,72,male,Barcelona,cat,7,uni,T11_2,68,s
14,72,male,Barcelona,cat,7,uni,T12_2,67,s
15,71,female,Barcelona,cat,7,eso,T1_2_2,30,z
15,71,female,Barcelona,cat,7,eso,T2_2_2,22,z
15,71,female,Barcelona,cat,7,eso,T3_2_2,32,z
15,71,female,Barcelona,cat,7,eso,T4_2_2,14,z
15,71,female,Barcelona,cat,7,eso,T5_2_2,23,z
15,71,female,Barcelona,cat,7,eso,T6_2_2,19,z
15,71,female,Barcelona,cat,7,eso,T7_2_2,21,s
15,71,female,Barcelona,cat,7,eso,T8_2_2,16,s
15,71,female,Barcelona,cat,7,eso,T9_2_2,14,s
15,71,female,Barcelona,cat,7,eso,T10_2_2,17,s
15,71,female,Barcelona,cat,7,eso,T11_2_2,40,s
15,71,female,Barcelona,cat,7,eso,T12_2_2,22,s
16,25,female,Barcelona,cast,7,uni,T1._2,78,z
16,25,female,Barcelona,cast,7,uni,T2_2,58,z
16,25,female,Barcelona,cast,7,uni,T3._2,74,z
16,25,female,Barcelona,cast,7,uni,T4._2,70,z
16,25,female,Barcelona,cast,7,uni,T5._2,54,z
16,25,female,Barcelona,cast,7,uni,T6_2,72,z
16,25,female,Barcelona,cast,7,uni,T7_2,58,s
16,25,female,Barcelona,cast,7,uni,T8_2,67,s
16,25,female,Barcelona,cast,7,uni,T9_2,60,s
16,25,female,Barcelona,cast,7,uni,T10_2,100,s
16,25,female,Barcelona,cast,7,uni,T11_2,100,s
16,25,female,Barcelona,cast,7,uni,T12_2,64,s
17,18,female,Barcelona,cat_cast,2,eso,T1_2_2,80,z
17,18,female,Barcelona,cat_cast,2,eso,T2_2_2,82,z
17,18,female,Barcelona,cat_cast,2,eso,T3_2_2,59,z
17,18,female,Barcelona,cat_cast,2,eso,T4_2_2,87,z
17,18,female,Barcelona,cat_cast,2,eso,T5_2_2,88,z
17,18,female,Barcelona,cat_cast,2,eso,T6_2_2,86,z
17,18,female,Barcelona,cat_cast,2,eso,T7_2_2,75,s
17,18,female,Barcelona,cat_cast,2,eso,T8_2_2,86,s
17,18,female,Barcelona,cat_cast,2,eso,T9_2_2,67,s
