id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_1,83,z
1,28,female,Girona,cat_cast,1,uni,T2_2_1,57,z
1,28,female,Girona,cat_cast,1,uni,T3_2_1,88,z
1,28,female,Girona,cat_cast,1,uni,T4_2_1,82,z
1,28,female,Girona,cat_cast,1,uni,T5_2_1,71,z
1,28,female,Girona,cat_cast,1,uni,T6_2_1,80,z
1,28,female,Girona,cat_cast,1,uni,T7_2_1,95,s
1,28,female,Girona,cat_cast,1,uni,T8_2_1,66,s
1,28,female,Girona,cat_cast,1,uni,T9_2_1,75,s
1,28,female,Girona,cat_cast,1,uni,T10_2_1,100,s
1,28,female,Girona,cat_cast,1,uni,T11_2_1,62,s
1,28,female,Girona,cat_cast,1,uni,T12_2_1,78,s
2,35,female,Girona,cat,4,uni,T1_2_1,80,z
2,35,female,Girona,cat,4,uni,T2_2_1,83,z
2,35,female,Girona,cat,4,uni,T3_2_1,69,z
2,35,female,Girona,cat,4,uni,T4_2_1,87,z
2,35,female,Girona,cat,4,uni,T5_2_1,50,z
2,35,female,Girona,cat,4,uni,T6_2_1,52,z
2,35,female,Girona,cat,4,uni,T7_2_1,47,s
2,35,female,Girona,cat,4,uni,T8_2_1,55,s
2,35,female,Girona,cat,4,uni,T9_2_1,61,s
2,35,female,Girona,cat,4,uni,T10_2_1,51,s
2,35,female,Girona,cat,4,uni,T11_2_1,44,s
2,35,female,Girona,cat,4,uni,T12_2_1,46,s
3,57,male,Girona,cat,5,uni,T1._1,50,z
3,57,male,Girona,cat,5,uni,T2_1,49,z
3,57,male,Girona,cat,5,uni,T3._1,52,z
3,57,male,Girona,cat,5,uni,T4._1,53,z
3,57,male,Girona,cat,5,uni,T5._1,50,z
3,57,male,Girona,cat,5,uni,T6_1,53,z
3,57,male,Girona,cat,5,uni,T7_1,50,s
3,57,male,Girona,cat,5,uni,T8_1,56,s
3,57,male,Girona,cat,5,uni,T9_1,49,s
3,57,male,Girona,cat,5,uni,T10_1,50,s
3,57,male,Girona,cat,5,uni,T11_1,53,s
3,57,male,Girona,cat,5,uni,T12_1,57,s
