id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_6,77,z
1,28,female,Girona,cat_cast,1,uni,T2_2_6,63,z
1,28,female,Girona,cat_cast,1,uni,T3_2_6,57,z
1,28,female,Girona,cat_cast,1,uni,T4_2_6,68,z
1,28,female,Girona,cat_cast,1,uni,T5_2_6,58,z
1,28,female,Girona,cat_cast,1,uni,T6_2_6,72,z
1,28,female,Girona,cat_cast,1,uni,T7_2_6,71,s
1,28,female,Girona,cat_cast,1,uni,T8_2_6,57,s
1,28,female,Girona,cat_cast,1,uni,T9_2_6,56,s
1,28,female,Girona,cat_cast,1,uni,T10_2_6,58,s
1,28,female,Girona,cat_cast,1,uni,T11_2_6,64,s
1,28,female,Girona,cat_cast,1,uni,T12_2_6,58,s
2,35,female,Girona,cat,4,uni,T1_2_6,57,z
2,35,female,Girona,cat,4,uni,T2_2_6,76,z
2,35,female,Girona,cat,4,uni,T3_2_6,57,z
2,35,female,Girona,cat,4,uni,T4_2_6,51,z
2,35,female,Girona,cat,4,uni,T5_2_6,52,z
2,35,female,Girona,cat,4,uni,T6_2_6,50,z
2,35,female,Girona,cat,4,uni,T7_2_6,54,s
2,35,female,Girona,cat,4,uni,T8_2_6,57,s
2,35,female,Girona,cat,4,uni,T9_2_6,49,s
2,35,female,Girona,cat,4,uni,T10_2_6,55,s
2,35,female,Girona,cat,4,uni,T11_2_6,39,s
2,35,female,Girona,cat,4,uni,T12_2_6,59,s
3,57,male,Girona,cat,5,uni,T1._6,45,z
3,57,male,Girona,cat,5,uni,T2_6,50,z
3,57,male,Girona,cat,5,uni,T3._6,52,z
3,57,male,Girona,cat,5,uni,T4._6,51,z
3,57,male,Girona,cat,5,uni,T5._6,56,z
3,57,male,Girona,cat,5,uni,T6_6,48,z
3,57,male,Girona,cat,5,uni,T7_6,55,s
3,57,male,Girona,cat,5,uni,T8_6,52,s
3,57,male,Girona,cat,5,uni,T9_6,52,s
3,57,male,Girona,cat,5,uni,T10_6,40,s
3,57,male,Girona,cat,5,uni,T11_6,55,s
3,57,male,Girona,cat,5,uni,T12_6,53,s
4,33,female,Barcelona,cat,4,uni,T1_2_6,100,z
4,33,female,Barcelona,cat,4,uni,T2_2_6,100,z
4,33,female,Barcelona,cat,4,uni,T3_2_6,91,z
4,33,female,Barcelona,cat,4,uni,T4_2_6,100,z
4,33,female,Barcelona,cat,4,uni,T5_2_6,94,z
4,33,female,Barcelona,cat,4,uni,T6_2_6,92,z
4,33,female,Barcelona,cat,4,uni,T7_2_6,100,s
4,33,female,Barcelona,cat,4,uni,T8_2_6,98,s
4,33,female,Barcelona,cat,4,uni,T9_2_6,91,s
4,33,female,Barcelona,cat,4,uni,T10_2_6,99,s
4,33,female,Barcelona,cat,4,uni,T11_2_6,93,s
4,33,female,Barcelona,cat,4,uni,T12_2_6,99,s
6,42,female,Girona,cat,4,fp,T1_2_6,62,z
6,42,female,Girona,cat,4,fp,T2_2_6,73,z
6,42,female,Girona,cat,4,fp,T3_2_6,45,z
6,42,female,Girona,cat,4,fp,T4_2_6,63,z
6,42,female,Girona,cat,4,fp,T5_2_6,64,z
6,42,female,Girona,cat,4,fp,T6_2_6,52,z
6,42,female,Girona,cat,4,fp,T7_2_6,53,s
6,42,female,Girona,cat,4,fp,T8_2_6,54,s
6,42,female,Girona,cat,4,fp,T9_2_6,69,s
6,42,female,Girona,cat,4,fp,T10_2_6,59,s
6,42,female,Girona,cat,4,fp,T11_2_6,66,s
6,42,female,Girona,cat,4,fp,T12_2_6,61,s
7,28,female,Girona,cat,1,fp,T1_2_6,48,z
7,28,female,Girona,cat,1,fp,T2_2_6,60,z
7,28,female,Girona,cat,1,fp,T3_2_6,30,z
7,28,female,Girona,cat,1,fp,T4_2_6,62,z
7,28,female,Girona,cat,1,fp,T5_2_6,100,z
7,28,female,Girona,cat,1,fp,T6_2_6,53,z
7,28,female,Girona,cat,1,fp,T7_2_6,59,s
7,28,female,Girona,cat,1,fp,T8_2_6,13,s
7,28,female,Girona,cat,1,fp,T9_2_6,17,s
7,28,female,Girona,cat,1,fp,T10_2_6,51,s
7,28,female,Girona,cat,1,fp,T11_2_6,79,s
7,28,female,Girona,cat,1,fp,T12_2_6,78,s
8,32,male,Barcelona,cat_cast,5,uni,T1._6,64,z
8,32,male,Barcelona,cat_cast,5,uni,T2_6,66,z
8,32,male,Barcelona,cat_cast,5,uni,T3._6,88,z
8,32,male,Barcelona,cat_cast,5,uni,T4._6,87,z
8,32,male,Barcelona,cat_cast,5,uni,T5._6,75,z
8,32,male,Barcelona,cat_cast,5,uni,T6_6,75,z
8,32,male,Barcelona,cat_cast,5,uni,T7_6,69,s
8,32,male,Barcelona,cat_cast,5,uni,T8_6,71,s
8,32,male,Barcelona,cat_cast,5,uni,T9_6,73,s
8,32,male,Barcelona,cat_cast,5,uni,T10_6,71,s
8,32,male,Barcelona,cat_cast,5,uni,T11_6,68,s
8,32,male,Barcelona,cat_cast,5,uni,T12_6,68,s
9,63,female,Barcelona,cat,4,uni,T1_2_6,55,z
9,63,female,Barcelona,cat,4,uni,T2_2_6,58,z
9,63,female,Barcelona,cat,4,uni,T3_2_6,49,z
9,63,female,Barcelona,cat,4,uni,T4_2_6,55,z
9,63,female,Barcelona,cat,4,uni,T5_2_6,50,z
9,63,female,Barcelona,cat,4,uni,T6_2_6,60,z
9,63,female,Barcelona,cat,4,uni,T7_2_6,51,s
9,63,female,Barcelona,cat,4,uni,T8_2_6,53,s
9,63,female,Barcelona,cat,4,uni,T9_2_6,59,s
9,63,female,Barcelona,cat,4,uni,T10_2_6,65,s
9,63,female,Barcelona,cat,4,uni,T11_2_6,49,s
9,63,female,Barcelona,cat,4,uni,T12_2_6,56,s
