id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_8,85,z
1,28,female,Girona,cat_cast,1,uni,T2_2_8,67,z
1,28,female,Girona,cat_cast,1,uni,T3_2_8,93,z
1,28,female,Girona,cat_cast,1,uni,T4_2_8,97,z
1,28,female,Girona,cat_cast,1,uni,T5_2_8,65,z
1,28,female,Girona,cat_cast,1,uni,T6_2_8,86,z
1,28,female,Girona,cat_cast,1,uni,T7_2_8,84,s
1,28,female,Girona,cat_cast,1,uni,T8_2_8,61,s
1,28,female,Girona,cat_cast,1,uni,T9_2_8,77,s
1,28,female,Girona,cat_cast,1,uni,T10_2_8,94,s
1,28,female,Girona,cat_cast,1,uni,T11_2_8,75,s
1,28,female,Girona,cat_cast,1,uni,T12_2_8,80,s
2,35,female,Girona,cat,4,uni,T1_2_8,100,z
2,35,female,Girona,cat,4,uni,T2_2_8,100,z
2,35,female,Girona,cat,4,uni,T3_2_8,100,z
2,35,female,Girona,cat,4,uni,T4_2_8,100,z
2,35,female,Girona,cat,4,uni,T5_2_8,61,z
2,35,female,Girona,cat,4,uni,T6_2_8,54,z
2,35,female,Girona,cat,4,uni,T7_2_8,48,s
2,35,female,Girona,cat,4,uni,T8_2_8,77,s
2,35,female,Girona,cat,4,uni,T9_2_8,47,s
2,35,female,Girona,cat,4,uni,T10_2_8,64,s
2,35,female,Girona,cat,4,uni,T11_2_8,23,s
2,35,female,Girona,cat,4,uni,T12_2_8,64,s
3,57,male,Girona,cat,5,uni,T1._8,85,z
3,57,male,Girona,cat,5,uni,T2_8,86,z
3,57,male,Girona,cat,5,uni,T3._8,82,z
3,57,male,Girona,cat,5,uni,T4._8,92,z
3,57,male,Girona,cat,5,uni,T5._8,57,z
3,57,male,Girona,cat,5,uni,T6_8,90,z
3,57,male,Girona,cat,5,uni,T7_8,81,s
3,57,male,Girona,cat,5,uni,T8_8,89,s
3,57,male,Girona,cat,5,uni,T9_8,91,s
3,57,male,Girona,cat,5,uni,T10_8,89,s
3,57,male,Girona,cat,5,uni,T11_8,88,s
3,57,male,Girona,cat,5,uni,T12_8,82,s
4,33,female,Barcelona,cat,4,uni,T1_2_8,100,z
4,33,female,Barcelona,cat,4,uni,T2_2_8,99,z
4,33,female,Barcelona,cat,4,uni,T3_2_8,100,z
4,33,female,Barcelona,cat,4,uni,T4_2_8,100,z
4,33,female,Barcelona,cat,4,uni,T5_2_8,100,z
4,33,female,Barcelona,cat,4,uni,T6_2_8,72,z
4,33,female,Barcelona,cat,4,uni,T7_2_8,99,s
4,33,female,Barcelona,cat,4,uni,T8_2_8,98,s
4,33,female,Barcelona,cat,4,uni,T9_2_8,100,s
4,33,female,Barcelona,cat,4,uni,T10_2_8,100,s
4,33,female,Barcelona,cat,4,uni,T11_2_8,98,s
4,33,female,Barcelona,cat,4,uni,T12_2_8,100,s
5,65,female,Girona,cat,3,uni,T1._8,77,z
5,65,female,Girona,cat,3,uni,T2_8,95,z
5,65,female,Girona,cat,3,uni,T3._8,94,z
5,65,female,Girona,cat,3,uni,T4._8,95,z
5,65,female,Girona,cat,3,uni,T5._8,52,z
5,65,female,Girona,cat,3,uni,T6_8,86,z
5,65,female,Girona,cat,3,uni,T7_8,62,s
5,65,female,Girona,cat,3,uni,T8_8,92,s
5,65,female,Girona,cat,3,uni,T9_8,93,s
5,65,female,Girona,cat,3,uni,T10_8,58,s
5,65,female,Girona,cat,3,uni,T11_8,94,s
5,65,female,Girona,cat,3,uni,T12_8,51,s
6,42,female,Girona,cat,4,fp,T1_2_8,100,z
6,42,female,Girona,cat,4,fp,T2_2_8,94,z
6,42,female,Girona,cat,4,fp,T3_2_8,100,z
6,42,female,Girona,cat,4,fp,T4_2_8,100,z
6,42,female,Girona,cat,4,fp,T5_2_8,100,z
6,42,female,Girona,cat,4,fp,T6_2_8,100,z
6,42,female,Girona,cat,4,fp,T7_2_8,100,s
6,42,female,Girona,cat,4,fp,T8_2_8,100,s
6,42,female,Girona,cat,4,fp,T9_2_8,100,s
6,42,female,Girona,cat,4,fp,T10_2_8,100,s
6,42,female,Girona,cat,4,fp,T11_2_8,100,s
6,42,female,Girona,cat,4,fp,T12_2_8,100,s
7,28,female,Girona,cat,1,fp,T1_2_8,13,z
7,28,female,Girona,cat,1,fp,T2_2_8,36,z
7,28,female,Girona,cat,1,fp,T3_2_8,36,z
