id,age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
1,28,female,Girona,cat_cast,1,uni,T1_2_4,75,z
1,28,female,Girona,cat_cast,1,uni,T2_2_4,59,z
1,28,female,Girona,cat_cast,1,uni,T3_2_4,63,z
1,28,female,Girona,cat_cast,1,uni,T4_2_4,67,z
1,28,female,Girona,cat_cast,1,uni,T5_2_4,69,z
1,28,female,Girona,cat_cast,1,uni,T6_2_4,89,z
1,28,female,Girona,cat_cast,1,uni,T7_2_4,67,s
1,28,female,Girona,cat_cast,1,uni,T8_2_4,54,s
1,28,female,Girona,cat_cast,1,uni,T9_2_4,72,s
1,28,female,Girona,cat_cast,1,uni,T10_2_4,81,s
1,28,female,Girona,cat_cast,1,uni,T11_2_4,70,s
1,28,female,Girona,cat_cast,1,uni,T12_2_4,67,s
2,35,female,Girona,cat,4,uni,T1_2_4,56,z
2,35,female,Girona,cat,4,uni,T2_2_4,50,z
2,35,female,Girona,cat,4,uni,T3_2_4,63,z
2,35,female,Girona,cat,4,uni,T4_2_4,48,z
2,35,female,Girona,cat,4,uni,T5_2_4,51,z
2,35,female,Girona,cat,4,uni,T6_2_4,54,z
2,35,female,Girona,cat,4,uni,T7_2_4,56,s
2,35,female,Girona,cat,4,uni,T8_2_4,59,s
2,35,female,Girona,cat,4,uni,T9_2_4,65,s
2,35,female,Girona,cat,4,uni,T10_2_4,61,s
2,35,female,Girona,cat,4,uni,T11_2_4,44,s
2,35,female,Girona,cat,4,uni,T12_2_4,60,s
3,57,male,Girona,cat,5,uni,T1._4,44,z
3,57,male,Girona,cat,5,uni,T2_4,50,z
3,57,male,Girona,cat,5,uni,T3._4,49,z
3,57,male,Girona,cat,5,uni,T4._4,50,z
3,57,male,Girona,cat,5,uni,T5._4,49,z
3,57,male,Girona,cat,5,uni,T6_4,55,z
3,57,male,Girona,cat,5,uni,T7_4,54,s
3,57,male,Girona,cat,5,uni,T8_4,50,s
3,57,male,Girona,cat,5,uni,T9_4,48,s
3,57,male,Girona,cat,5,uni,T10_4,58,s
3,57,male,Girona,cat,5,uni,T11_4,56,s
3,57,male,Girona,cat,5,uni,T12_4,50,s
4,33,female,Barcelona,cat,4,uni,T1_2_4,100,z
4,33,female,Barcelona,cat,4,uni,T2_2_4,100,z
4,33,female,Barcelona,cat,4,uni,T3_2_4,100,z
4,33,female,Barcelona,cat,4,uni,T4_2_4,100,z
4,33,female,Barcelona,cat,4,uni,T5_2_4,92,z
4,33,female,Barcelona,cat,4,uni,T6_2_4,75,z
4,33,female,Barcelona,cat,4,uni,T7_2_4,100,s
4,33,female,Barcelona,cat,4,uni,T8_2_4,100,s
4,33,female,Barcelona,cat,4,uni,T9_2_4,70,s
4,33,female,Barcelona,cat,4,uni,T10_2_4,100,s
4,33,female,Barcelona,cat,4,uni,T11_2_4,90,s
4,33,female,Barcelona,cat,4,uni,T12_2_4,100,s
5,65,female,Girona,cat,3,uni,T3._4,0,z
5,65,female,Girona,cat,3,uni,T4._4,37,z
5,65,female,Girona,cat,3,uni,T7_4,74,s
5,65,female,Girona,cat,3,uni,T8_4,86,s
5,65,female,Girona,cat,3,uni,T11_4,94,s
5,65,female,Girona,cat,3,uni,T12_4,52,s
6,42,female,Girona,cat,4,fp,T1_2_4,70,z
6,42,female,Girona,cat,4,fp,T2_2_4,50,z
6,42,female,Girona,cat,4,fp,T3_2_4,41,z
6,42,female,Girona,cat,4,fp,T4_2_4,70,z
6,42,female,Girona,cat,4,fp,T5_2_4,50,z
6,42,female,Girona,cat,4,fp,T6_2_4,75,z
6,42,female,Girona,cat,4,fp,T7_2_4,74,s
6,42,female,Girona,cat,4,fp,T8_2_4,63,s
6,42,female,Girona,cat,4,fp,T9_2_4,80,s
6,42,female,Girona,cat,4,fp,T10_2_4,71,s
6,42,female,Girona,cat,4,fp,T11_2_4,82,s
6,42,female,Girona,cat,4,fp,T12_2_4,75,s
7,28,female,Girona,cat,1,fp,T1_2_4,30,z
7,28,female,Girona,cat,1,fp,T2_2_4,64,z
7,28,female,Girona,cat,1,fp,T3_2_4,37,z
7,28,female,Girona,cat,1,fp,T4_2_4,59,z
7,28,female,Girona,cat,1,fp,T5_2_4,100,z
7,28,female,Girona,cat,1,fp,T6_2_4,51,z
7,28,female,Girona,cat,1,fp,T7_2_4,67,s
7,28,female,Girona,cat,1,fp,T8_2_4,10,s
7,28,female,Girona,cat,1,fp,T9_2_4,20,s
7,28,female,Girona,cat,1,fp,T10_2_4,59,s
7,28,female,Girona,cat,1,fp,T11_2_4,47,s
7,28,female,Girona,cat,1,fp,T12_2_4,81,s
8,32,male,Barcelona,cat_cast,5,uni,T1._4,69,z
8,32,male,Barcelona,cat_cast,5,uni,T2_4,64,z
8,32,male,Barcelona,cat_cast,5,uni,T3._4,87,z
8,32,male,Barcelona,cat_cast,5,uni,T4._4,92,z
8,32,male,Barcelona,cat_cast,5,uni,T5._4,69,z
8,32,male,Barcelona,cat_cast,5,uni,T6_4,67,z
8,32,male,Barcelona,cat_cast,5,uni,T7_4,82,s
8,32,male,Barcelona,cat_cast,5,uni,T8_4,69,s
8,32,male,Barcelona,cat_cast,5,uni,T9_4,59,s
8,32,male,Barcelona,cat_cast,5,uni,T10_4,70,s
8,32,male,Barcelona,cat_cast,5,uni,T11_4,67,s
8,32,male,Barcelona,cat_cast,5,uni,T12_4,70,s
9,63,female,Barcelona,cat,4,uni,T1_2_4,48,z
9,63,female,Barcelona,cat,4,uni,T2_2_4,56,z
9,63,female,Barcelona,cat,4,uni,T3_2_4,55,z
9,63,female,Barcelona,cat,4,uni,T4_2_4,55,z
9,63,female,Barcelona,cat,4,uni,T5_2_4,46,z
9,63,female,Barcelona,cat,4,uni,T6_2_4,57,z
9,63,female,Barcelona,cat,4,uni,T7_2_4,47,s
9,63,female,Barcelona,cat,4,uni,T8_2_4,49,s
9,63,female,Barcelona,cat,4,uni,T9_2_4,57,s
9,63,female,Barcelona,cat,4,uni,T10_2_4,52,s
9,63,female,Barcelona,cat,4,uni,T11_2_4,52,s
9,63,female,Barcelona,cat,4,uni,T12_2_4,54,s
10,33,male,Barcelona,cat,5,uni,T1_2_4,83,z
10,33,male,Barcelona,cat,5,uni,T4_2_4,89,z
10,33,male,Barcelona,cat,5,uni,T5_2_4,83,z
10,33,male,Barcelona,cat,5,uni,T6_2_4,76,z
10,33,male,Barcelona,cat,5,uni,T7_2_4,80,s
10,33,male,Barcelona,cat,5,uni,T11_2_4,83,s
11,35,male,Barcelona,cat,7,uni,T1._4,50,z
11,35,male,Barcelona,cat,7,uni,T2_4,50,z
11,35,male,Barcelona,cat,7,uni,T3._4,50,z
11,35,male,Barcelona,cat,7,uni,T4._4,50,z
11,35,male,Barcelona,cat,7,uni,T5._4,50,z
11,35,male,Barcelona,cat,7,uni,T6_4,50,z
11,35,male,Barcelona,cat,7,uni,T7_4,51,s
11,35,male,Barcelona,cat,7,uni,T8_4,50,s
11,35,male,Barcelona,cat,7,uni,T9_4,51,s
11,35,male,Barcelona,cat,7,uni,T10_4,50,s
11,35,male,Barcelona,cat,7,uni,T11_4,50,s
11,35,male,Barcelona,cat,7,uni,T12_4,50,s
12,28,female,Barcelona,cat,7,uni,T1_2_4,95,z
